date,close
2021-03-11,12.9935
2021-03-12,12.856
2021-03-15,13.1913
2021-03-16,13.2913
2021-03-17,13.3413
2021-03-18,12.7225
2021-03-19,12.8458
2021-03-22,13.1863
2021-03-23,13.0708
2021-03-24,12.643
2021-03-25,12.5353
2021-03-26,12.8393
2021-03-29,12.9483
2021-03-30,12.8718
2021-03-31,13.3483
2021-04-01,13.8118
2021-04-05,13.9875
2021-04-06,13.8615
2021-04-07,14.1435
2021-04-08,14.317
2021-04-09,14.4
2021-04-12,15.209
2021-04-13,15.6795
2021-04-14,15.277
2021-04-15,16.1373
2021-04-16,15.9125
2021-04-19,15.3618
2021-04-20,15.1713
2021-04-21,15.3605
2021-04-22,14.8503
2021-04-23,15.2653
2021-04-26,15.478
2021-04-27,15.3818
2021-04-28,15.2768
2021-04-29,15.3248
2021-04-30,15.0095
2021-05-03,14.8368
2021-05-04,14.3513
2021-05-05,14.4585
2021-05-06,14.523
2021-05-07,14.8123
2021-05-10,14.2658
2021-05-11,14.3063
2021-05-12,13.7585
2021-05-13,13.6653
2021-05-14,14.243
2021-05-17,14.1655
2021-05-18,14.0158
2021-05-19,14.0658
2021-05-20,14.6125
2021-05-21,14.9918
2021-05-24,15.612
2021-05-25,15.6478
2021-05-26,15.7
2021-05-27,15.488
2021-05-28,16.2445
2021-06-01,16.2645
2021-06-02,16.7783
2021-06-03,16.9698
2021-06-04,17.5783
2021-06-07,17.619
2021-06-08,17.457
2021-06-09,17.3583
2021-06-10,17.425
2021-06-11,17.8253
2021-06-14,18.0188
2021-06-15,17.7885
2021-06-16,17.8103
2021-06-17,18.6573
2021-06-18,18.6387
2021-06-21,18.4273
2021-06-22,18.8868
2021-06-23,19.0573
2021-06-24,19.2055
2021-06-25,19.031
2021-06-28,19.985
2021-06-29,20.0268
2021-06-30,20.0025
2021-07-01,20.212
2021-07-02,20.487
2021-07-06,20.6985
2021-07-07,20.3718
2021-07-08,19.9028
2021-07-09,20.0503
2021-07-12,20.5125
2021-07-13,20.25
2021-07-14,19.8415
2021-07-15,18.9662
2021-07-16,18.161
2021-07-19,18.7798
2021-07-20,18.612
2021-07-21,19.41
2021-07-22,19.594
2021-07-23,19.558
2021-07-26,19.294
2021-07-27,19.208
2021-07-28,19.503
2021-07-29,19.662
2021-07-30,19.499
2021-08-02,19.75
2021-08-03,19.815
2021-08-04,20.274
2021-08-05,20.637
2021-08-06,20.366
2021-08-09,20.295
2021-08-10,19.936
2021-08-11,19.699
2021-08-12,19.905
2021-08-13,20.188
2021-08-16,19.95
2021-08-17,19.458
2021-08-18,19.04
2021-08-19,19.798
2021-08-20,20.816
2021-08-23,21.958
2021-08-24,21.793
2021-08-25,22.213
2021-08-26,22.068
2021-08-27,22.636
2021-08-30,22.688
2021-08-31,22.385
2021-09-01,22.441
2021-09-02,22.396
2021-09-03,22.843
2021-09-07,22.662
2021-09-08,22.339
2021-09-09,22.177
2021-09-10,22.478
2021-09-13,22.152
2021-09-14,22.242
2021-09-15,22.341
2021-09-16,22.242
2021-09-17,21.9
2021-09-20,21.113
2021-09-21,21.246
2021-09-22,21.941
2021-09-23,22.482
2021-09-24,22.081
2021-09-27,21.66
2021-09-28,20.699
2021-09-29,20.517
2021-09-30,20.716
2021-10-01,20.742
2021-10-04,19.732
2021-10-05,20.451
2021-10-06,20.7
2021-10-07,21.075
2021-10-08,20.831
2021-10-11,20.695
2021-10-12,20.671
2021-10-13,20.939
2021-10-14,21.746
2021-10-15,21.862
2021-10-18,22.222
2021-10-19,22.29
2021-10-20,22.103
2021-10-21,22.692
2021-10-22,22.726
2021-10-25,23.166
2021-10-26,24.717
2021-10-27,24.451
2021-10-28,24.941
2021-10-29,25.567
2021-11-01,25.827
2021-11-02,26.401
2021-11-03,26.598
2021-11-04,29.801
2021-11-05,29.752
2021-11-08,30.804
2021-11-09,30.657
2021-11-10,29.459
2021-11-11,30.39
2021-11-12,30.39
2021-11-15,30.025
2021-11-16,30.203
2021-11-17,29.261
2021-11-18,31.675
2021-11-19,32.985
2021-11-22,31.956
2021-11-23,31.746
2021-11-24,32.674
2021-11-26,31.503
2021-11-29,33.376
2021-11-30,32.676
2021-12-01,31.435
2021-12-02,32.126
2021-12-03,30.693
2021-12-06,30.037
2021-12-07,32.427
2021-12-08,31.826
2021-12-09,30.49
2021-12-10,30.198
2021-12-13,28.161
2021-12-14,28.337
2021-12-15,30.459
2021-12-16,28.387
2021-12-17,27.801
2021-12-20,27.719
2021-12-21,29.075
2021-12-22,29.4
2021-12-23,29.64
2021-12-27,30.945
2021-12-28,30.322
2021-12-29,30.001
2021-12-30,29.586
2021-12-31,29.411
2022-01-03,30.121
2022-01-04,29.29
2022-01-05,27.604
2022-01-06,28.178
2022-01-07,27.247
2022-01-10,27.4
2022-01-11,27.817
2022-01-12,27.999
2022-01-13,26.575
2022-01-14,26.942
2022-01-18,25.903
2022-01-19,25.067
2022-01-20,24.15
2022-01-21,23.374
2022-01-24,23.372
2022-01-25,22.324
2022-01-26,22.772
2022-01-27,21.944
2022-01-28,22.84
2022-01-31,24.486
2022-02-01,24.638
2022-02-02,25.242
2022-02-03,23.948
2022-02-04,24.319
2022-02-07,24.728
2022-02-08,25.108
2022-02-09,26.705
2022-02-10,25.824
2022-02-11,23.949
2022-02-14,24.267
2022-02-15,26.495
2022-02-16,26.511
2022-02-17,24.507
2022-02-18,23.642
2022-02-22,23.39
2022-02-23,22.387
2022-02-24,23.748
2022-02-25,24.157
2022-02-28,24.385
2022-03-01,23.477
2022-03-02,24.22
2022-03-03,23.714
2022-03-04,22.936
2022-03-07,21.352
2022-03-08,21.514
2022-03-09,23.014
2022-03-10,22.658
2022-03-11,22.1
2022-03-14,21.33
2022-03-15,22.973
2022-03-16,24.496
2022-03-17,24.766
2022-03-18,26.453
2022-03-21,26.734
2022-03-22,26.524
2022-03-23,25.634
2022-03-24,28.15
2022-03-25,27.692
2022-03-28,28.219
2022-03-29,28.656
2022-03-30,27.69
2022-03-31,27.286
2022-04-01,26.712
2022-04-04,27.36
2022-04-05,25.931
2022-04-06,24.407
2022-04-07,24.208
2022-04-08,23.119
2022-04-11,21.917
2022-04-12,21.504
2022-04-13,22.203
2022-04-14,21.258
2022-04-18,21.783
2022-04-19,22.198
2022-04-20,21.482
2022-04-21,20.183
2022-04-22,19.515
2022-04-25,19.902
2022-04-26,18.788
2022-04-27,18.415
2022-04-28,19.782
2022-04-29,18.547
2022-05-02,19.533
2022-05-03,19.602
2022-05-04,20.334
2022-05-05,18.844
2022-05-06,18.675
2022-05-09,16.95
2022-05-10,17.595
2022-05-11,16.63
2022-05-12,16.175
2022-05-13,17.706
2022-05-16,17.264
2022-05-17,18.177
2022-05-18,16.938
2022-05-19,17.124
2022-05-20,16.694
2022-05-23,16.898
2022-05-24,16.154
2022-05-25,16.975
2022-05-26,17.851
2022-05-27,18.811
2022-05-31,18.672
2022-06-01,18.32
2022-06-02,19.592
2022-06-03,18.72
2022-06-06,18.786
2022-06-07,18.926
2022-06-08,18.648
2022-06-09,18.048
2022-06-10,16.974
2022-06-13,15.647
2022-06-14,15.836
2022-06-15,16.527
2022-06-16,15.601
2022-06-17,15.88
2022-06-21,16.566
2022-06-22,16.36
2022-06-23,16.225
2022-06-24,17.126
2022-06-27,16.869
2022-06-28,15.982
2022-06-29,15.542
2022-06-30,15.159
2022-07-01,14.523
2022-07-05,14.964
2022-07-06,15.13
2022-07-07,15.858
2022-07-08,15.838
2022-07-11,15.152
2022-07-12,15.082
2022-07-13,15.164
2022-07-14,15.372
2022-07-15,15.762
2022-07-18,16.101
2022-07-19,16.992
2022-07-20,17.807
2022-07-21,18.05
2022-07-22,17.319
2022-07-25,17.024
2022-07-26,16.533
2022-07-27,17.79
2022-07-28,17.984
2022-07-29,18.163
2022-08-01,18.441
2022-08-02,18.526
2022-08-03,18.893
2022-08-04,19.215
2022-08-05,18.989
2022-08-08,17.793
2022-08-09,17.086
2022-08-10,18.097
2022-08-11,17.942
2022-08-12,18.709
2022-08-15,19.032
2022-08-16,18.879
2022-08-17,18.335
2022-08-18,18.773
2022-08-19,17.849
2022-08-22,17.034
2022-08-23,17.181
2022-08-24,17.222
2022-08-25,17.913
2022-08-26,16.26
2022-08-29,15.801
2022-08-30,15.468
2022-08-31,15.094
2022-09-01,13.937
2022-09-02,13.647
2022-09-06,13.465
2022-09-07,13.714
2022-09-08,13.99
2022-09-09,14.387
2022-09-12,14.505
2022-09-13,13.131
2022-09-14,13.128
2022-09-15,12.929
2022-09-16,13.198
2022-09-19,13.382
2022-09-20,13.176
2022-09-21,13.261
2022-09-22,12.561
2022-09-23,12.516
2022-09-26,12.228
2022-09-27,12.413
2022-09-28,12.736
2022-09-29,12.22
2022-09-30,12.139
2022-10-03,12.512
2022-10-04,13.167
2022-10-05,13.209
2022-10-06,13.13
2022-10-07,12.076
2022-10-10,11.67
2022-10-11,11.586
2022-10-12,11.5
2022-10-13,11.96
2022-10-14,11.227
2022-10-17,11.888
2022-10-18,11.967
2022-10-19,12.051
2022-10-20,12.194
2022-10-21,12.466
2022-10-24,12.599
2022-10-25,13.261
2022-10-26,12.896
2022-10-27,13.176
2022-10-28,13.834
2022-10-31,13.497
2022-11-01,13.543
2022-11-02,13.219
2022-11-03,13.421
2022-11-04,14.156
2022-11-07,14.301
2022-11-08,14.602
2022-11-09,13.776
2022-11-10,15.75
2022-11-11,16.327
2022-11-14,16.295
2022-11-15,16.666
2022-11-16,15.91
2022-11-17,15.677
2022-11-18,15.409
2022-11-21,15.317
2022-11-22,16.038
2022-11-23,16.519
2022-11-25,16.27
2022-11-28,15.827
2022-11-29,15.639
2022-11-30,16.923
2022-12-01,17.135
2022-12-02,16.876
2022-12-05,16.61
2022-12-06,15.987
2022-12-07,16.12
2022-12-08,17.169
2022-12-09,17.001
2022-12-12,17.535
2022-12-13,18.072
2022-12-14,17.674
2022-12-15,16.952
2022-12-16,16.571
2022-12-19,16.254
2022-12-20,16.085
2022-12-21,16.501
2022-12-22,15.339
2022-12-23,15.206
2022-12-27,14.121
2022-12-28,14.036
2022-12-29,14.603
2022-12-30,14.614
2023-01-03,14.315
2023-01-04,14.749
2023-01-05,14.265
2023-01-06,14.859
2023-01-09,15.628
2023-01-10,15.909
2023-01-11,16.001
2023-01-12,16.511
2023-01-13,16.899
2023-01-17,17.702
2023-01-18,17.377
2023-01-19,16.765
2023-01-20,17.839
2023-01-23,19.193
2023-01-24,19.265
2023-01-25,19.323
2023-01-26,19.802
2023-01-27,20.365
2023-01-30,19.162
2023-01-31,19.537
2023-02-01,20.943
2023-02-02,21.709
2023-02-03,21.1
2023-02-06,21.089
2023-02-07,22.173
2023-02-08,22.205
2023-02-09,22.337
2023-02-10,21.265
2023-02-13,21.788
2023-02-14,22.971
2023-02-15,22.764
2023-02-16,22.002
2023-02-17,21.388
2023-02-21,20.655
2023-02-22,20.754
2023-02-23,23.664
2023-02-24,23.286
2023-02-27,23.501
2023-02-28,23.216
2023-03-01,22.698
2023-03-02,23.314
2023-03-03,23.89
2023-03-06,23.554
2023-03-07,23.288
2023-03-08,24.181
2023-03-09,23.436
2023-03-10,22.965
2023-03-13,22.966
2023-03-14,24.063
2023-03-15,24.228
2023-03-16,25.541
2023-03-17,25.725
2023-03-20,25.9
2023-03-21,26.199
2023-03-22,26.468
2023-03-23,27.191
2023-03-24,26.779
2023-03-27,26.531
2023-03-28,26.41
2023-03-29,26.984
2023-03-30,27.383
2023-03-31,27.777
2023-04-03,27.965
2023-04-04,27.453
2023-04-05,26.881
2023-04-06,27.037
2023-04-10,27.579
2023-04-11,27.169
2023-04-12,26.495
2023-04-13,26.463
2023-04-14,26.758
2023-04-17,27.002
2023-04-18,27.667
2023-04-19,27.931
2023-04-20,27.104
2023-04-21,27.119
2023-04-24,27.042
2023-04-25,26.241
2023-04-26,26.956
2023-04-27,27.226
2023-04-28,27.749
2023-05-01,28.91
2023-05-02,28.21
2023-05-03,27.802
2023-05-04,27.562
2023-05-05,28.68
2023-05-08,29.151
2023-05-09,28.571
2023-05-10,28.885
2023-05-11,28.578
2023-05-12,28.34
2023-05-15,28.953
2023-05-16,29.213
2023-05-17,30.178
2023-05-18,31.678
2023-05-19,31.264
2023-05-22,31.176
2023-05-23,30.688
2023-05-24,30.538
2023-05-25,37.98
2023-05-26,38.946
2023-05-30,40.111
2023-05-31,37.834
2023-06-01,39.77
2023-06-02,39.327
2023-06-05,39.171
2023-06-06,38.654
2023-06-07,37.475
2023-06-08,38.51
2023-06-09,38.77
2023-06-12,39.482
2023-06-13,41.022
2023-06-14,42.997
2023-06-15,42.653
2023-06-16,42.692
2023-06-20,43.808
2023-06-21,43.045
2023-06-22,43.025
2023-06-23,42.209
2023-06-26,40.632
2023-06-27,41.876
2023-06-28,41.117
2023-06-29,40.822
2023-06-30,42.302
2023-07-03,42.413
2023-07-05,42.317
2023-07-06,42.103
2023-07-07,42.503
2023-07-10,42.18
2023-07-11,42.405
2023-07-12,43.902
2023-07-13,45.977
2023-07-14,45.469
2023-07-17,46.461
2023-07-18,47.494
2023-07-19,47.077
2023-07-20,45.52
2023-07-21,44.309
2023-07-24,44.612
2023-07-25,45.679
2023-07-26,45.452
2023-07-27,45.9
2023-07-28,46.75
2023-07-31,46.729
2023-08-01,46.507
2023-08-02,44.269
2023-08-03,44.515
2023-08-04,44.68
2023-08-07,45.4165
2023-08-08,44.664
2023-08-09,42.554
2023-08-10,42.388
2023-08-11,40.855
2023-08-14,43.753
2023-08-15,43.94
2023-08-16,43.486
2023-08-17,43.3435
2023-08-18,43.299
2023-08-21,46.967
2023-08-22,45.668
2023-08-23,47.116
2023-08-24,47.163
2023-08-25,46.018
2023-08-28,46.835
2023-08-29,48.784
2023-08-30,49.264
2023-08-31,49.355
2023-09-01,48.509
2023-09-05,48.548
2023-09-06,47.061
2023-09-07,46.241
2023-09-08,45.572
2023-09-11,45.178
2023-09-12,44.87
2023-09-13,45.485
2023-09-14,45.581
2023-09-15,43.9
2023-09-18,43.966
2023-09-19,43.52
2023-09-20,42.239
2023-09-21,41.017
2023-09-22,41.61
2023-09-25,42.222
2023-09-26,41.911
2023-09-27,42.468
2023-09-28,43.089
2023-09-29,43.499
2023-10-02,44.782
2023-10-03,43.517
2023-10-04,44.041
2023-10-05,44.688
2023-10-06,45.762
2023-10-09,45.273
2023-10-10,45.798
2023-10-11,46.806
2023-10-12,46.945
2023-10-13,45.461
2023-10-16,46.095
2023-10-17,43.938
2023-10-18,42.196
2023-10-19,42.101
2023-10-20,41.387
2023-10-23,42.975
2023-10-24,43.663
2023-10-25,41.779
2023-10-26,40.326
2023-10-27,40.5
2023-10-30,41.161
2023-10-31,40.78
2023-11-01,42.325
2023-11-02,43.506
2023-11-03,45.005
2023-11-06,45.751
2023-11-07,45.955
2023-11-08,46.574
2023-11-09,46.95
2023-11-10,48.335
2023-11-13,48.62
2023-11-14,49.656
2023-11-15,48.888
2023-11-16,49.48
2023-11-17,49.298
2023-11-20,50.409
2023-11-21,49.944
2023-11-22,48.716
2023-11-24,47.776
2023-11-27,48.242
2023-11-28,47.821
2023-11-29,48.14
2023-11-30,46.77
2023-12-01,46.765
2023-12-04,45.51
2023-12-05,46.566
2023-12-06,45.503
2023-12-07,46.596
2023-12-08,47.506
2023-12-11,46.627
2023-12-12,47.657
2023-12-13,48.088
2023-12-14,48.35
2023-12-15,48.89
2023-12-18,50.077
2023-12-19,49.604
2023-12-20,48.111
2023-12-21,48.99
2023-12-22,48.83
2023-12-26,49.279
2023-12-27,49.417
2023-12-28,49.522
2023-12-29,49.522
2024-01-02,48.168
2024-01-03,47.569
2024-01-04,47.998
2024-01-05,49.097
2024-01-08,52.253
2024-01-09,53.14
2024-01-10,54.35
2024-01-11,54.822
2024-01-12,54.71
2024-01-16,56.382
2024-01-17,56.053
2024-01-18,57.107
2024-01-19,59.491
2024-01-22,59.654
2024-01-23,59.873
2024-01-24,61.362
2024-01-25,61.617
2024-01-26,61.031
2024-01-29,62.465
2024-01-30,62.774
2024-01-31,61.527
2024-02-01,63.027
2024-02-02,66.16
2024-02-05,69.332
2024-02-06,68.223
2024-02-07,70.099
2024-02-08,69.641
2024-02-09,72.133
2024-02-12,72.248
2024-02-13,72.128
2024-02-14,73.9
2024-02-15,72.658
2024-02-16,72.613
2024-02-20,69.452
2024-02-21,67.472
2024-02-22,78.538
2024-02-23,78.817
2024-02-26,79.092
2024-02-27,78.701
2024-02-28,77.663
2024-02-29,79.112
2024-03-01,82.279
2024-03-04,85.237
2024-03-05,85.964
2024-03-06,88.7
2024-03-07,92.669
2024-03-08,87.528
2024-03-11,85.774
2024-03-12,91.913
2024-03-13,90.888
2024-03-14,87.944
2024-03-15,87.8365
2024-03-18,88.455
2024-03-19,89.398
2024-03-20,90.372
2024-03-21,91.435
2024-03-22,94.289
2024-03-25,95.002
2024-03-26,92.561
2024-03-27,90.25
2024-03-28,90.356
2024-04-01,90.363
2024-04-02,89.452
2024-04-03,88.964
2024-04-04,85.905
2024-04-05,88.008
2024-04-08,87.133
2024-04-09,85.354
2024-04-10,87.039
2024-04-11,90.616
2024-04-12,88.186
2024-04-15,86.001
2024-04-16,87.415
2024-04-17,84.035
2024-04-18,84.671
2024-04-19,76.2
2024-04-22,79.518
2024-04-23,82.423
2024-04-24,79.677
2024-04-25,82.632
2024-04-26,87.735
2024-04-29,87.757
2024-04-30,86.402
2024-05-01,83.041
2024-05-02,85.817
2024-05-03,88.789
2024-05-06,92.14
2024-05-07,90.554
2024-05-08,90.412
2024-05-09,88.747
2024-05-10,89.878
2024-05-13,90.399
2024-05-14,91.356
2024-05-15,94.63
2024-05-16,94.359
